L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,63,4,4,,31,,24,6.35%,6.35%,49.21%,38.10%
Il docente è reperibile per chiarimenti e spiegazioni?,,63,1,5,,29,,28,1.59%,7.94%,46.03%,44.44%
E' interessato/a agli argomenti trattati nell'insegnamento?,,63,4,6,,33,,20,6.35%,9.52%,52.38%,31.75%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,788431 - Nome insegnamento,,,,,,,,,,,
UD:,833528 - Nome modulo,,,,,,,,,,,
Docente:,276520 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,74,3,7,,33,,31,4.05%,9.46%,44.59%,41.89%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,74,1,3,,33,,37,1.35%,4.05%,44.59%,50.00%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,74,3,9,,34,,28,4.05%,12.16%,45.95%,37.84%
Le modalità di esame sono state definite in modo chiaro?,,74,0,1,,24,,49,0.00%,1.35%,32.43%,66.22%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,74,0,1,,28,,45,0.00%,1.35%,37.84%,60.81%
Il docente stimola/motiva l'interesse verso la disciplina?,,74,0,8,,29,,37,0.00%,10.81%,39.19%,50.00%
Il docente espone gli argomenti in modo chiaro?,,74,1,5,,32,,36,1.35%,6.76%,43.24%,48.65%
"Le attività didattiche integrative (esercitazini, tutorati,laboratori, etc...) sono utili all'apprendimento della materia?",,71,1,12,,34,,24,1.41%,16.90%,47.89%,33.80%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,74,0,1,,35,,38,0.00%,1.35%,47.30%,51.35%
Il docente è reperibile per chiarimenti e spiegazioni?,,74,0,3,,31,,40,0.00%,4.05%,41.89%,54.05%
E' interessato/a agli argomenti trattati nell'insegnamento?,,74,1,8,,36,,29,1.35%,10.81%,48.65%,39.19%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,573543 - Nome insegnamento,,,,,,,,,,,
UD:,997495 - Nome modulo,,,,,,,,,,,
Docente:,893718 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,21,5,0,,9,,7,23.81%,0.00%,42.86%,33.33%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,21,2,3,,14,,2,9.52%,14.29%,66.67%,9.52%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,21,2,3,,11,,5,9.52%,14.29%,52.38%,23.81%
Le modalità di esame sono state definite in modo chiaro?,,21,0,3,,7,,11,0.00%,14.29%,33.33%,52.38%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,21,0,0,,10,,11,0.00%,0.00%,47.62%,52.38%
Il docente stimola/motiva l'interesse verso la disciplina?,,21,7,1,,9,,4,33.33%,4.76%,42.86%,19.05%
Il docente espone gli argomenti in modo chiaro?,,21,4,4,,10,,3,19.05%,19.05%,47.62%,14.29%
"Le attività didattiche integrative (esercitazini, tutorati,laboratori, etc...) sono utili all'apprendimento della materia?",,21,1,5,,8,,7,4.76%,23.81%,38.10%,33.33%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,21,0,3,,11,,7,0.00%,14.29%,52.38%,33.33%
Il docente è reperibile per chiarimenti e spiegazioni?,,21,0,2,,10,,9,0.00%,9.52%,47.62%,42.86%
E' interessato/a agli argomenti trattati nell'insegnamento?,,21,1,2,,10,,8,4.76%,9.52%,47.62%,38.10%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,810160 - Nome insegnamento,,,,,,,,,,,
UD:,139994 - Nome modulo,,,,,,,,,,,
Docente:,689695 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,126,4,35,,55,,32,3.17%,27.78%,43.65%,25.40%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,126,2,15,,45,,64,1.59%,11.90%,35.71%,50.79%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,126,0,10,,61,,55,0.00%,7.94%,48.41%,43.65%
Le modalità di esame sono state definite in modo chiaro?,,126,2,16,,43,,65,1.59%,12.70%,34.13%,51.59%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,126,0,0,,25,,101,0.00%,0.00%,19.84%,80.16%
Il docente stimola/motiva l'interesse verso la disciplina?,,126,2,21,,58,,45,1.59%,16.67%,46.03%,35.71%
Il docente espone gli argomenti in modo chiaro?,,126,2,17,,66,,41,1.59%,13.49%,52.38%,32.54%
"Le attività didattiche integrative (esercitazini, tutorati,laboratori, etc...) sono utili all'apprendimento della materia?",,126,2,14,,57,,53,1.59%,11.11%,45.24%,42.06%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,126,0,1,,50,,75,0.00%,0.79%,39.68%,59.52%
Il docente è reperibile per chiarimenti e spiegazioni?,,126,0,0,,30,,96,0.00%,0.00%,23.81%,76.19%
E' interessato/a agli argomenti trattati nell'insegnamento?,,126,2,16,,62,,46,1.59%,12.70%,49.21%,36.51%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,389608 - Nome insegnamento,,,,,,,,,,,
UD:,488934 - Nome modulo,,,,,,,,,,,
Docente:,683905 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,49,6,9,,22,,12,12.24%,18.37%,44.90%,24.49%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,49,6,16,,22,,5,12.24%,32.65%,44.90%,10.20%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,49,18,7,,19,,5,36.73%,14.29%,38.78%,10.20%
Le modalità di esame sono state definite in modo chiaro?,,49,4,10,,20,,15,8.16%,20.41%,40.82%,30.61%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,49,2,3,,18,,26,4.08%,6.12%,36.73%,53.06%
Il docente stimola/motiva l'interesse verso la disciplina?,,49,18,7,,15,,9,36.73%,14.29%,30.61%,18.37%
Il docente espone gli argomenti in modo chiaro?,,49,17,11,,13,,8,34.69%,22.45%,26.53%,16.33%
"Le attività didattiche integrative (esercitazini, tutorati,laboratori, etc...) sono utili all'apprendimento della materia?",,49,15,11,,14,,9,30.61%,22.45%,28.57%,18.37%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,49,4,5,,23,,17,8.16%,10.20%,46.94%,34.69%
Il docente è reperibile per chiarimenti e spiegazioni?,,49,3,4,,26,,16,6.12%,8.16%,53.06%,32.65%
E' interessato/a agli argomenti trattati nell'insegnamento?,,49,5,14,,22,,8,10.20%,28.57%,44.90%,16.33%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,791607 - Nome insegnamento,,,,,,,,,,,
UD:,378584 - Nome modulo,,,,,,,,,,,
Docente:,849090 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,57,4,9,,20,,24,7.02%,15.79%,35.09%,42.11%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,57,1,5,,22,,29,1.75%,8.77%,38.60%,50.88%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,57,0,1,,23,,33,0.00%,1.75%,40.35%,57.89%
Le modalità di esame sono state definite in modo chiaro?,,57,1,1,,10,,45,1.75%,1.75%,17.54%,78.95%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,57,0,1,,9,,47,0.00%,1.75%,15.79%,82.46%
Il docente stimola/motiva l'interesse verso la disciplina?,,57,2,2,,17,,36,3.51%,3.51%,29.82%,63.16%
Il docente espone gli argomenti in modo chiaro?,,57,0,1,,21,,35,0.00%,1.75%,36.84%,61.40%
"Le attività didattiche integrative (esercitazini, tutorati,laboratori, etc...) sono utili all'apprendimento della materia?",,57,0,4,,24,,29,0.00%,7.02%,42.11%,50.88%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,57,0,0,,19,,38,0.00%,0.00%,33.33%,66.67%
Il docente è reperibile per chiarimenti e spiegazioni?,,57,0,1,,15,,41,0.00%,1.75%,26.32%,71.93%
E' interessato/a agli argomenti trattati nell'insegnamento?,,57,2,5,,25,,25,3.51%,8.77%,43.86%,43.86%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,231930 - Nome insegnamento,,,,,,,,,,,
UD:,336207 - Nome modulo,,,,,,,,,,,
Docente:,585600 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,106,11,31,,38,,26,10.38%,29.25%,35.85%,24.53%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,106,1,14,,56,,35,0.94%,13.21%,52.83%,33.02%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,106,7,30,,49,,20,6.60%,28.30%,46.23%,18.87%
Le modalità di esame sono state definite in modo chiaro?,,106,3,10,,35,,58,2.83%,9.43%,33.02%,54.72%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,106,1,1,,43,,61,0.94%,0.94%,40.57%,57.55%
Il docente stimola/motiva l'interesse verso la disciplina?,,106,8,22,,55,,21,7.55%,20.75%,51.89%,19.81%
Il docente espone gli argomenti in modo chiaro?,,106,13,34,,51,,8,12.26%,32.08%,48.11%,7.55%
"Le attività didattiche integrative (esercitazini, tutorati,laboratori, etc...) sono utili all'apprendimento della materia?",,106,2,7,,38,,59,1.89%,6.60%,35.85%,55.66%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,106,0,9,,52,,45,0.00%,8.49%,49.06%,42.45%
Il docente è reperibile per chiarimenti e spiegazioni?,,106,0,7,,46,,53,0.00%,6.60%,43.40%,50.00%
E' interessato/a agli argomenti trattati nell'insegnamento?,,106,2,11,,50,,43,1.89%,10.38%,47.17%,40.57%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,971970 - Nome insegnamento,,,,,,,,,,,
UD:,191295 - Nome modulo,,,,,,,,,,,
Docente:,880975 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,130,13,23,,47,,47,10.00%,17.69%,36.15%,36.15%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,130,0,8,,69,,53,0.00%,6.15%,53.08%,40.77%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,130,6,20,,58,,46,4.62%,15.38%,44.62%,35.38%
Le modalità di esame sono state definite in modo chiaro?,,130,0,6,,35,,89,0.00%,4.62%,26.92%,68.46%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,130,0,0,,26,,104,0.00%,0.00%,20.00%,80.00%
Il docente stimola/motiva l'interesse verso la disciplina?,,130,0,8,,57,,65,0.00%,6.15%,43.85%,50.00%
Il docente espone gli argomenti in modo chiaro?,,130,2,22,,63,,43,1.54%,16.92%,48.46%,33.08%
"Le attività didattiche integrative (esercitazini, tutorati,laboratori, etc...) sono utili all'apprendimento della materia?",,130,0,5,,41,,84,0.00%,3.85%,31.54%,64.62%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,130,0,4,,50,,76,0.00%,3.08%,38.46%,58.46%
Il docente è reperibile per chiarimenti e spiegazioni?,,130,2,1,,21,,106,1.54%,0.77%,16.15%,81.54%
E' interessato/a agli argomenti trattati nell'insegnamento?,,130,0,8,,30,,92,0.00%,6.15%,23.08%,70.77%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,696682 - Nome insegnamento,,,,,,,,,,,
UD:,692863 - Nome modulo,,,,,,,,,,,
Docente:,804682 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,128,10,20,,53,,45,7.81%,15.63%,41.41%,35.16%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,128,0,7,,67,,54,0.00%,5.47%,52.34%,42.19%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,128,3,17,,56,,52,2.34%,13.28%,43.75%,40.63%
Le modalità di esame sono state definite in modo chiaro?,,128,0,4,,41,,83,0.00%,3.13%,32.03%,64.84%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,128,0,0,,36,,92,0.00%,0.00%,28.13%,71.88%
Il docente stimola/motiva l'interesse verso la disciplina?,,128,0,8,,57,,63,0.00%,6.25%,44.53%,49.22%
Il docente espone gli argomenti in modo chiaro?,,128,1,19,,64,,44,0.78%,14.84%,50.00%,34.38%
"Le attività didattiche integrative (esercitazini, tutorati,laboratori, etc...) sono utili all'apprendimento della materia?",,128,0,5,,47,,76,0.00%,3.91%,36.72%,59.38%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,128,0,3,,56,,69,0.00%,2.34%,43.75%,53.91%
Il docente è reperibile per chiarimenti e spiegazioni?,,128,0,1,,24,,103,0.00%,0.78%,18.75%,80.47%
E' interessato/a agli argomenti trattati nell'insegnamento?,,128,1,5,,41,,81,0.78%,3.91%,32.03%,63.28%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,663259 - Nome insegnamento,,,,,,,,,,,
UD:,315071 - Nome modulo,,,,,,,,,,,
Docente:,649881 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,16,0,1,,8,,7,0.00%,6.25%,50.00%,43.75%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,16,0,1,,7,,8,0.00%,6.25%,43.75%,50.00%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,16,0,0,,7,,9,0.00%,0.00%,43.75%,56.25%
Le modalità di esame sono state definite in modo chiaro?,,16,0,1,,6,,9,0.00%,6.25%,37.50%,56.25%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,16,0,0,,9,,7,0.00%,0.00%,56.25%,43.75%
Il docente stimola/motiva l'interesse verso la disciplina?,,16,0,2,,6,,8,0.00%,12.50%,37.50%,50.00%
Il docente espone gli argomenti in modo chiaro?,,16,0,2,,6,,8,0.00%,12.50%,37.50%,50.00%
"Le attività didattiche integrative (esercitazini, tutorati,laboratori, etc...) sono utili all'apprendimento della materia?",,16,0,1,,8,,7,0.00%,6.25%,50.00%,43.75%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,16,0,0,,9,,7,0.00%,0.00%,56.25%,43.75%
Il docente è reperibile per chiarimenti e spiegazioni?,,16,0,0,,7,,9,0.00%,0.00%,43.75%,56.25%
E' interessato/a agli argomenti trattati nell'insegnamento?,,16,0,1,,5,,10,0.00%,6.25%,31.25%,62.50%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,604693 - Nome insegnamento,,,,,,,,,,,
UD:,489377 - Nome modulo,,,,,,,,,,,
Docente:,588062 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,67,2,14,,32,,19,2.99%,20.90%,47.76%,28.36%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,67,3,5,,41,,18,4.48%,7.46%,61.19%,26.87%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,67,2,8,,31,,26,2.99%,11.94%,46.27%,38.81%
Le modalità di esame sono state definite in modo chiaro?,,67,1,2,,25,,39,1.49%,2.99%,37.31%,58.21%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,67,0,2,,18,,47,0.00%,2.99%,26.87%,70.15%
Il docente stimola/motiva l'interesse verso la disciplina?,,67,8,16,,30,,13,11.94%,23.88%,44.78%,19.40%
Il docente espone gli argomenti in modo chiaro?,,67,1,14,,36,,16,1.49%,20.90%,53.73%,23.88%
"Le attività didattiche integrative (esercitazioni, tutorati,laboratori, etc…), ove esistenti, sono utili all'apprendimento della materia?",,67,3,1,,28,,35,4.48%,1.49%,41.79%,52.24%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,67,0,2,,33,,32,0.00%,2.99%,49.25%,47.76%
Il docente è reperibile per chiarimenti e spiegazioni?,,67,0,3,,29,,35,0.00%,4.48%,43.28%,52.24%
E' interessato/a agli argomenti trattati nell'insegnamento?,,67,7,16,,31,,13,10.45%,23.88%,46.27%,19.40%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,577856 - Nome insegnamento,,,,,,,,,,,
UD:,300500 - Nome modulo,,,,,,,,,,,
Docente:,428710 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
